Feature,Consortium_Early_R1,Consortium_Early_R2,Consortium_Early_R3,Consortium_Late_R1,Consortium_Late_R2,Consortium_Late_R3,HGF2_Early_R1,HGF2_Early_R2,HGF2_Early_R3,HGF2_Late_R1,HGF2_Late_R2,HGF2_Late_R13
RCHGF004057,1,0,1,0,0,0,211,208,199,127,132,126
RCHGF004058,3,7,5,1,1,0,1206,1294,1102,600,763,678
RCHGF004059,5,9,10,2,0,1,2746,2977,1903,1245,1882,1548
RCHGF004060,14,18,6,2,2,4,2941,2573,1956,1973,2181,1676
RCHGF004061,25,38,41,9,16,21,4995,5988,3008,3606,5146,4702
RCHGF004062,32,43,29,15,16,17,3247,3363,1167,1790,2573,2218
RCHGF004063,18,15,22,8,2,5,1339,1619,516,1179,1866,1762
RCHGF004064,27,30,21,16,8,11,2752,2904,922,1905,2301,1908
RCHGF004065,13,32,8,8,2,2,4762,5353,4143,5139,7718,6331
RCHGF004066,13,8,13,10,5,2,2218,2286,1754,1933,2683,2316
RCHGF004067,15,29,18,9,14,9,2096,2546,1279,2093,2540,2404
RCHGF004068,12,20,12,0,10,7,1823,2052,1043,1988,2463,2009
RCHGF004069,1,2,0,0,0,0,171,148,103,823,683,663
RCHGF004070,5,8,2,15,4,4,2995,3017,2552,3518,4186,3722
RCHGF004071,1,5,1,1,0,1,121,172,81,1242,1285,1313
RCHGF004072,23,27,25,11,12,4,4279,4368,2101,11776,14990,11678
RCHGF004073,22,35,19,10,11,3,3883,4800,2845,2615,4506,4107
RCHGF004074,8,3,6,2,1,3,2238,2509,1830,1616,2737,2336
RCHGF004075,16,27,21,11,11,5,3818,4345,3014,2684,4620,4357
RCHGF004076,2,8,8,2,0,1,1397,1497,1261,1191,1540,1299
RCHGF004077,1,0,0,0,0,0,54,56,41,43,35,32
RCHGF004078,12,34,7,8,8,13,2885,3250,3351,2225,3276,3126
RCHGF004079,3,7,2,0,3,4,990,1060,982,555,834,721
RCHGF004080,5,12,4,0,2,0,1852,2166,2513,1131,1821,1648
RCHGF004081,152,147,139,87,95,86,42911,37656,78350,26135,29424,21906
RCHGF004082,0,2,2,0,1,1,302,262,319,4131,3400,2682
RCHGF004083,13,16,8,5,2,5,8201,8188,6531,2522,3878,3194
RCHGF004084,3,10,9,5,3,5,3699,3833,4311,1775,2012,1768
RCHGF004085,4,4,6,2,2,1,1961,2108,1853,887,1131,928
RCHGF004086,1,9,3,0,3,2,628,745,854,432,656,522
RCHGF004087,3,8,4,2,6,0,448,499,362,256,329,242
RCHGF004088,0,0,0,0,0,0,10,19,18,8,7,11
RCHGF004089,0,1,3,2,0,0,179,214,117,1370,1463,1362
RCHGF004090,2,0,2,3,1,2,252,354,177,1256,1415,1413
RCHGF004091,4,5,1,1,1,0,340,277,142,148,172,121
RCHGF004092,0,2,3,2,0,0,206,272,76,232,189,158
RCHGF004093,9,6,1,0,0,0,663,780,325,391,374,365
RCHGF004094,3,5,4,0,2,0,294,336,163,165,226,209
RCHGF004095,2,0,0,0,0,0,90,119,40,25,36,28
RCHGF004096,22,34,17,8,11,13,5167,5780,4173,3622,5713,4922
RCHGF004097,4,13,11,3,5,3,2318,2373,1854,1461,2378,1924
RCHGF004099,16,32,16,8,2,8,5523,5363,3518,4090,6969,5309
RCHGF004101,0,1,0,1,0,0,78,78,44,30,10,18
RCHGF004102,0,0,0,0,0,0,2,1,5,6,0,0
RCHGF004103,0,0,0,0,0,0,7,4,5,5,1,3
RCHGF004104,18,19,9,2,1,10,4742,5436,2700,1823,1729,1630
RCHGF004105,0,3,1,1,0,0,197,182,194,63,46,26
RCHGF004106,0,7,1,0,1,3,677,741,291,495,550,396
RCHGF004107,0,1,0,0,0,0,107,102,69,68,116,66
RCHGF004108,3,1,0,0,0,1,233,241,107,144,189,162
RCHGF004109,18,22,9,4,2,6,2092,2176,1222,1205,1490,1177
RCHGF004110,0,0,0,0,0,0,54,102,56,38,23,16
RCHGF004111,1,0,0,0,0,0,119,122,195,56,68,43
RCHGF004112,1,2,1,0,0,0,153,120,76,73,38,33
RCHGF004113,4,2,2,0,0,0,400,363,210,315,231,177
RCHGF004114,0,2,1,0,1,0,162,155,152,572,287,276
RCHGF004115,2,11,7,2,3,4,1185,1366,914,719,730,618
RCHGF004117,0,0,3,0,0,3,33,47,15,17,10,15
RCHGF004118,1,0,0,0,0,1,54,80,25,27,18,14
RCHGF004119,1,1,0,0,0,0,131,193,119,75,99,55
RCHGF004120,1,9,2,1,1,0,317,365,204,201,175,175
RCHGF004121,24,29,9,6,16,3,3403,3456,3400,2378,2827,2266
RCHGF004122,1,1,2,0,0,0,333,475,289,331,260,204
RCHGF004123,3,0,0,1,0,0,143,175,170,405,334,248
RCHGF004125,91,102,70,29,21,30,12189,12837,7455,7697,11503,10356
RCHGF004126,0,20,1,0,0,0,276,405,149,206,145,138
RCHGF004127,0,0,0,0,0,2,30,54,25,19,29,15
RCHGF004128,0,3,2,0,0,0,144,172,83,106,90,66
