"Feature","Consortium_Early_R1","Consortium_Early_R2","Consortium_Early_R3","Consortium_Late_R1","Consortium_Late_R2","Consortium_Late_R3","PT8_Early_R1","PT8_Early_R2","PT8_Early_R3","PT8_Late_R1","PT8_Late_R2","PT8_Late_R3"
"RVCYZ000652",1184,1327,1056,1006,836,792,1041,1546,2279,2785,2744,2753
"RVCYZ000653",734,858,710,717,600,553,671,886,580,1114,1054,1021
"RVCYZ000654",2691,3461,2488,2727,2154,2021,2410,3437,3696,5021,5590,5188
"RVCYZ000655",20918,26426,20627,21537,17963,19879,18502,19161,71070,15054,13311,13833
"RVCYZ000656",130,111,132,127,90,87,138,193,245,396,403,437
"RVCYZ000657",843,976,882,567,513,504,915,1083,1162,973,1050,1014
"RVCYZ000658",806,1009,829,621,608,678,733,840,937,470,456,425
"RVCYZ000659",95,117,111,94,103,81,95,99,140,173,147,180
"RVCYZ000660",9044,11153,8598,7115,6126,6607,7918,8960,11099,6446,6683,6581
"RVCYZ000661",444,615,456,322,246,232,396,506,287,536,489,556
"RVCYZ000662",1381,1779,1286,792,690,654,1369,1732,867,2011,2109,1956
"RVCYZ000663",135,208,127,144,117,103,216,299,120,653,710,734
"RVCYZ000664",1259,1394,1096,1136,999,976,1261,1651,1295,2290,2542,2571
"RVCYZ000665",1450,1768,1289,1259,1093,933,1555,2185,1539,3203,3183,3261
"RVCYZ000666",480,527,519,443,423,410,510,654,610,1002,1077,1087
"RVCYZ000667",373,556,405,320,293,225,509,732,1018,1427,1432,1501
"RVCYZ000668",343,409,256,386,233,198,311,406,640,784,761,747
"RVCYZ000669",175,150,142,168,139,117,162,278,136,558,622,539
"RVCYZ000670",853,984,641,564,508,513,896,1283,475,1557,1724,1545
"RVCYZ000671",1240,1598,1053,869,695,765,1478,1816,471,1718,1676,1701
"RVCYZ000672",619,720,526,517,434,334,688,939,243,969,1146,969
"RVCYZ000673",149,132,100,118,92,52,113,237,23,304,374,383
"RVCYZ000674",156,160,104,146,91,90,163,291,29,664,665,703
"RVCYZ000675",57,82,54,57,41,27,66,108,135,338,324,305
"RVCYZ000676",227,316,159,214,189,128,254,471,120,1165,1330,1192
"RVCYZ000677",114,137,89,121,106,98,183,293,104,701,717,721
"RVCYZ000678",6399,8352,6240,5748,4636,4965,4322,5291,7373,5185,4771,4574
"RVCYZ000679",2450,2950,2368,1819,1349,1463,2435,3134,3669,3823,3732,3690
"RVCYZ000680",3866,5262,6729,3247,2470,2698,2875,3556,1872,3157,2930,3013
"RVCYZ000681",2834,3936,4665,2045,1685,1865,2385,2716,960,2320,2308,2323
"RVCYZ000682",1603,2050,2667,1280,1037,1067,1253,1558,528,1174,1235,1155
"RVCYZ000683",1948,2510,2947,1462,1281,1222,1688,2160,577,2203,2294,2185
"RVCYZ000684",876,994,1378,849,876,813,683,879,403,909,993,969
"RVCYZ000685",668,818,1098,759,755,786,708,830,396,936,821,926
"RVCYZ000686",1996,2894,2133,2319,1863,2124,1940,2097,986,2457,2434,2399
"RVCYZ000687",186,261,136,171,164,117,208,422,1382,1033,1092,1146
"RVCYZ000688",265,435,279,305,289,191,364,655,676,1429,1453,1504
"RVCYZ000689",508,561,407,486,336,255,533,844,178,1387,1443,1480
"RVCYZ000690",1692,2019,1491,1484,1191,1271,1129,1539,1203,709,606,678
"RVCYZ000691",1143,1418,1146,869,720,769,1185,1470,1483,1987,1926,2037
"RVCYZ000692",504,662,563,312,279,260,556,673,652,773,840,760
"RVCYZ000693",1055,1185,966,607,514,416,1115,1417,446,1902,2200,2006
"RVCYZ000694",1188,1683,1238,870,689,710,1073,1352,488,1508,1443,1407
"RVCYZ000695",17167,21873,17366,14974,12827,13889,13422,14044,9901,6405,6144,5962
"RVCYZ000696",3745,4310,3341,2512,1957,2252,3082,3488,1428,2914,2892,2806
"RVCYZ000697",449,569,424,261,263,254,312,353,163,266,238,207
"RVCYZ000698",2752,3102,2568,1865,1644,1712,2567,3085,871,2728,2836,2838
"RVCYZ000699",2071,2643,2272,1303,1111,1032,2131,2818,1956,2238,2340,2401
"RVCYZ000700",6642,8030,7229,6043,5255,6205,6687,6932,9662,4151,3884,4697
